,crimerate,is_crimerate,is_hero,lat,long,name,year
5,,0,1,40.44062479999999,-79.9958864,Firestorm,1978
6,1693.87,1,0,40.7127753,-74.0059728,New York City,1978
7,1939.69,1,0,33.7489954,-84.3879824,Atlanta,1978
8,1939.69,1,0,32.1656221,-82.9000751,GA,1978
9,896.95,1,0,41.8781136,-87.6297982,Chicago,1978
10,1025.29,1,0,36.778261,-119.4179324,CA,1978
11,566.92,1,0,32.715738,-117.1610838,San Diego,1978
12,1320.06,1,0,34.0522342,-118.2436849,Los Angeles,1978
13,1260.17,1,0,25.7616798,-80.1917902,Miami,1978
14,1595.63,1,0,37.7749295,-122.4194155,San Francisco,1978
15,1004.43,1,0,39.7392358,-104.990251,Denver,1978
16,390.92,1,0,43.0389025,-87.9064736,Milwaukee,1978
17,631.94,1,0,41.7605849,-88.32007150000001,Aurora,1978
18,1628.46,1,0,42.3600825,-71.0588801,Boston,1978
19,1000.08,1,0,47.6062095,-122.3320708,Seattle,1978
20,1411.72,1,0,47.7510741,-120.7401385,Washington,1978
21,1875.2,1,0,39.2903848,-76.6121893,Baltimore,1978
22,2101.15,1,0,40.735657,-74.1723667,Newark,1978
23,497.8,1,0,37.09024,-95.712891,United States,1978
24,369.61,1,0,31.9685988,-99.9018131,TX,1978
25,999.08,1,0,36.1699412,-115.1398296,Las Vegas,1978
26,999.08,1,0,38.8026097,-116.419389,NV,1978
27,606.74,1,0,36.1539816,-95.99277500000001,Tulsa,1978
28,655.99,1,0,39.9525839,-75.1652215,Philadelphia,1978
29,1668.93,1,0,42.331427,-83.0457538,Detroit,1978
30,1004.92,1,0,40.44062479999999,-79.9958864,Pittsburgh,1978
31,369.61,1,0,32.735687,-97.10806559999999,Arlington,1978
32,1365.44,1,0,29.95106579999999,-90.0715323,New Orleans,1978
33,281.83,1,0,21.3069444,-157.8583333,Honolulu,1978
34,1578.0,1,0,41.49932,-81.6943605,Cleveland,1978
35,2101.15,1,0,40.0583238,-74.4056612,NJ,1978
36,812.11,1,0,40.7127753,-74.0059728,NY,1978
37,1365.44,1,0,34.0522342,-118.2436849,LA,1978
38,775.16,1,0,33.4483771,-112.0740373,Phoenix,1978
39,1108.15,1,0,45.5051064,-122.6750261,Portland,1978
40,834.04,1,0,35.0843859,-106.650422,Albuquerque,1978
41,631.94,1,0,37.0366406,-95.6714121,CO,1978
42,426.17,1,0,30.267153,-97.7430608,Austin,1978
43,717.49,1,0,39.4647665,-76.7336521,Baltimore County,1978
44,717.49,1,0,37.0402828,-95.6398724,MD,1978
45,1628.46,1,0,36.11300500000001,-95.97542899999999,MA,1978
46,812.11,1,0,42.88644679999999,-78.8783689,Buffalo,1978
47,787.77,1,0,35.2270869,-80.8431267,Charlotte,1978
48,787.77,1,0,35.7595731,-79.01929969999999,NC,1978
49,896.95,1,0,40.6331249,-89.3985283,IL,1978
50,814.9,1,0,39.1031182,-84.5120196,Cincinnati,1978
51,814.9,1,0,40.4172871,-82.90712300000001,OH,1978
52,579.76,1,0,39.9611755,-82.99879419999999,Columbus,1978
53,1133.7,1,0,32.7766642,-96.79698789999999,Dallas,1978
54,175.37,1,0,38.9085472,-77.2405153,Fairfax County,1978
55,175.37,1,0,37.3664814,-95.2644709,VA,1978
56,710.37,1,0,32.7554883,-97.3307658,Fort Worth,1978
57,1025.29,1,0,36.7377981,-119.7871247,Fresno,1978
58,730.04,1,0,29.7604267,-95.3698028,Houston,1978
59,727.3,1,0,39.768403,-86.158068,Indianapolis,1978
60,834.86,1,0,30.3321838,-81.65565099999999,Jacksonville,1978
61,834.86,1,0,27.6648274,-81.5157535,FL,1978
62,1084.0,1,0,39.0997265,-94.5785667,Kansas City,1978
63,1084.0,1,0,37.9642529,-91.8318334,MO,1978
64,1106.86,1,0,34.0522265,-118.2436596,Los Angeles County,1978
65,0.0,1,0,38.2526647,-85.7584557,Louisville,1978
66,0.0,1,0,37.8393332,-84.2700179,KY,1978
67,792.26,1,0,35.1495343,-90.0489801,Memphis,1978
68,792.26,1,0,35.5174913,-86.5804473,TN,1978
69,394.6,1,0,33.4151843,-111.8314724,Mesa,1978
70,394.6,1,0,34.0489281,-111.0937311,AZ,1978
71,1260.17,1,0,25.5516034,-80.6326916,Dade County,1978
72,390.92,1,0,43.7844397,-88.7878678,WI,1978
73,826.57,1,0,44.977753,-93.2650108,Minneapolis,1978
74,826.57,1,0,46.729553,-94.6858998,MN,1978
75,216.66,1,0,39.1547426,-77.2405153,Montgomery County,1978
76,696.89,1,0,36.1626638,-86.7816016,Nashville,1978
77,91.35,1,0,40.6546145,-73.55941279999999,Nassau County,1978
78,1639.63,1,0,37.8043514,-122.2711639,Oakland,1978
79,946.26,1,0,35.4675602,-97.5164276,Oklahoma City,1978
80,509.27,1,0,41.2565369,-95.9345034,Omaha,1978
81,509.27,1,0,41.4925374,-99.9018131,NE,1978
82,1368.32,1,0,28.5383355,-81.3792365,Orlando,1978
83,655.99,1,0,41.2033216,-77.1945247,PA,1978
84,715.95,1,0,38.78492110000001,-76.8720961,Prince George's County,1978
85,429.64,1,0,35.7795897,-78.6381787,Raleigh,1978
86,1223.11,1,0,38.5815719,-121.4943996,Sacramento,1978
87,574.05,1,0,40.7607793,-111.8910474,Salt Lake City,1978
88,421.9,1,0,29.4241219,-98.49362819999999,San Antonio,1978
89,468.84,1,0,37.3382082,-121.8863286,San Jose,1978
90,1000.08,1,0,47.7510741,-120.7401385,WA,1978
91,1922.41,1,0,38.6270025,-90.19940419999999,St. Louis,1978
